fold,test_individual,model,MAE,RMSE,R2
1,14,Mean baseline,2.381410256410257,2.656608558581895,-0.000285374831104912
1,14,Linear regression,2.2596344515292834,2.544176160658542,0.08259069246977724
1,14,Random forest regression,2.5127241186621028,2.7358013441529105,-0.06081072365385598
2,13,Mean baseline,1.2264957264957266,1.2698781048005907,-3.5531964264995946
2,13,Linear regression,1.7461253060247641,1.8175588838319783,-8.327586718672602
2,13,Random forest regression,1.852411645519404,1.9028913366313678,-9.22398712195778
3,12,Mean baseline,2.076923076923077,2.395721312019664,-0.029246833251048043
3,12,Linear regression,1.90808929282172,2.2673876490587355,0.07806882670113302
3,12,Random forest regression,1.9380091829009485,2.357132879924232,0.003642765178995866
4,11,Mean baseline,1.342948717948718,1.519933841426747,-0.4590729783037475
4,11,Linear regression,1.334992800310841,1.6654925907293026,-0.7519150966994974
4,11,Random forest regression,1.1359839061736199,1.4298976320215409,-0.29133088719630096
5,10,Mean baseline,2.003205128205128,2.106830022003996,-1.2506250520876745
5,10,Linear regression,1.8964105542720955,2.0124848727207585,-1.0535694797954358
5,10,Random forest regression,1.5552952690657162,1.683445728603792,-0.4369524332613619
6,9,Mean baseline,2.006410256410257,2.5182763899801315,-0.015803226464645492
6,9,Linear regression,2.1391485744693286,2.587266557780534,-0.07222307753656598
6,9,Random forest regression,2.079845589867763,2.56900414687878,-0.05713976881198346
7,8,Mean baseline,0.9294871794871794,1.1793652389586127,-0.0014497041420120649
7,8,Linear regression,0.8565932893188236,1.1549350081374343,0.03961009142458072
7,8,Random forest regression,1.1199752317603553,1.3392033882979117,-0.2912953149645976
8,7,Mean baseline,1.487179487179487,1.9607841686970593,-1.0132114039806344
8,7,Linear regression,1.5487203011012307,2.027650542665389,-1.1528611204969437
8,7,Random forest regression,1.5393351800753976,1.9874803462578983,-1.0684045463768865
9,6,Mean baseline,2.0833333333333335,2.5253806972433295,-0.2989630323979142
9,6,Linear regression,2.357006585622983,2.8507934872803005,-0.6552919165845088
9,6,Random forest regression,2.1651669920894396,2.546334061486897,-0.32060773689833555
10,5,Mean baseline,1.3739316239316242,1.5592084001110913,-0.11137409598948067
10,5,Linear regression,1.3811270777191282,1.6279571130897923,-0.2115402797986976
10,5,Random forest regression,1.1712397658135902,1.3649756160860118,0.1482704308528514
11,4,Mean baseline,1.1239316239316242,1.6919677203188364,-0.18800197807069852
11,4,Linear regression,1.6627559507261893,2.336329375164287,-1.26517185214063
11,4,Random forest regression,1.1571173603113891,1.6793862737586345,-0.1703997375631212
12,3,Mean baseline,1.1645299145299146,1.2640401503289582,-0.17991200121377604
12,3,Linear regression,1.0836155650946262,1.1806860100343053,-0.029429750860845205
12,3,Random forest regression,0.9320518430553495,1.142021536693948,0.03688872102931251
13,2,Mean baseline,1.4294871794871795,1.65052588595188,-0.0007396449704142327
13,2,Linear regression,1.2457032032710782,1.5529694631006978,0.11406418857512557
13,2,Random forest regression,1.451545005784993,1.608600383823075,0.04945482638686982
14,1,Mean baseline,1.9230769230769234,2.0391870987402405,-0.1627046590452117
14,1,Linear regression,1.8934768837113125,2.030985486909965,-0.15337066974291824
14,1,Random forest regression,2.053625799878646,2.174737705610666,-0.32241885184753993
